,Name,MIP Variables (from CMOR Variables),CF Standard Name (from MIP Variables) 2 (from CMOR Variables),Title (from CMOR Variables),Structure Title (from CMOR Variables),Shortlist,V1.1,Version 1.2,Version 1.3,Summary,v1.3 (standard(,Modeling Realm (from CMOR Variables),Fixed,History,V1.3 (high)
recpNACL0MpD4Got7,3hr.tas,tas,air_temperature,Near-Surface Air Temperature,Synoptic Near-Surface Field (2m),3hr.tas,3hr.tas,True,True,Summary,,atmos,,,3hr.tas
recpeI3XooNhg0Qi0,Amon.hus,hus,specific_humidity,Specific Humidity,Time-Mean on 19 Pressure Levels,Amon.hus,Amon.hus,True,True,Summary,Amon.hus,atmos,,,
recqLPwbJWDlyXyXt,Eday.zg,zg,geopotential_height,Geopotential Height,Time-Mean on 19 Pressure Levels,Eday.zg,Eday.zg,True,True,Summary,,atmos,,,Eday.zg
recqtXbM6d5qMYG4X,day.wap,wap,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),Time-Mean on 8 Pressure Levels,day.wap,day.wap,True,True,Summary,,atmos,,,day.wap
recqwRA0hPJoAAmj1,Amon.tauv,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Time and Area Mean on Single Level,Amon.tauv,Amon.tauv,True,True,Summary,Amon.tauv,atmos,,,
recrFv8X15VdU6saN,LImon.snc,snc,surface_snow_area_fraction,Snow Area Percentage,Time and Area Mean on Single Level,,,,True,Summary,LImon.snc,"landIce, land",,Added following review of corrected ESGF download stats.,
recrJkKhmgJIxioZz,Ofx.hfgeou,hfgeou,upward_geothermal_heat_flux_at_sea_floor,Upward Geothermal Heat Flux at Sea Floor,"""Model Configuration Field on Sea Floor, Area Mean, Masked (Sea)""",Ofx.hfgeou,Ofx.hfgeou,True,True,Summary,,ocean,True,,
recrV1iP4tCe56Ial,day.hurs,hurs,relative_humidity,Near-Surface Relative Humidity,Time-Mean Near-Surface Field (2m),day.hurs,day.hurs,True,True,Summary,day.hurs,atmos,,,
recsCSYJVx9LecHZy,CFday.va,,,,,CFday.va,,,,Summary,,,,,
recsKdEASEpcwCR9Y,Amon.cli,cli,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,"""Temporal mean, Global field on model atmosphere levels [XY-A]""",Amon.cli,Amon.cli,True,True,Summary,,atmos,,,Amon.cli
recsXNzivOCuh0AGX,Omon.vo,vo,sea_water_y_velocity,Sea Water Y Velocity,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.vo,Omon.vo,True,True,Summary,,ocean,,,Omon.vo
recsdtY6wHRtjRN1Z,SImon.sithick,sithick,sea_ice_thickness,Sea Ice Thickness,"""Weighted Time-Mean on Single Level, Masked (Sea Ice)""",SImon.sithick,SImon.sithick,True,True,Summary,SImon.sithick,"seaIce, ocean",,,
recspO9Kvb9EC2Pyx,SImon.siv,siv,sea_ice_y_velocity,Y-Component of Sea-Ice Velocity,"""Time  mean, weighted by sea ice area, Global field (single level) [XY-na] {on model mest points} [amnsi-twm]""",SImon.siv,SImon.siv,True,True,Summary,SImon.siv,seaIce,,,
rect9dfjpNWmuo8OZ,day.hfss,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,Time and Area Mean on Single Level,,day.hfss,True,,Summary,,atmos,,,
recuMPKQ48N3dxEyB,Omon.bigthetao,bigthetao,sea_water_conservative_temperature,Sea Water Conservative Temperature,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",,Omon.bigthetao,True,True,Summary,,ocean,,,Omon.bigthetao
recuU2Rhj6DpZ1zi0,Amon.hur,hur,relative_humidity,Relative Humidity,Time-Mean on 19 Pressure Levels,Amon.hur,Amon.hur,True,True,Summary,Amon.hur,atmos,,,
recuVNi2xVJrqdhBZ,CFday.hus,,,,,CFday.hus,,,,Summary,,,,,
recuVSPZYzO7Ve0td,day.hus,hus,specific_humidity,Specific Humidity,Time-Mean on 8 Pressure Levels,day.hus,day.hus,True,True,Summary,,atmos,,,day.hus
recudRiujDwzeRMr4,Omon.mlotst,mlotst,ocean_mixed_layer_thickness_defined_by_sigma_t,Ocean Mixed Layer Thickness Defined by Sigma T,"""Time and Area Mean on Single Level, Masked (Sea)""",Omon.mlotst,Omon.mlotst,True,True,Summary,Omon.mlotst,ocean,,,
recuuMDU1lEX1lzEr,Amon.rsus,rsus,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsus,Amon.rsus,True,True,Summary,Amon.rsus,atmos,,,
recw3E4LQb1Icqa8O,Amon.uas,uas,eastward_wind,Eastward Near-Surface Wind,Time-Mean Near-Surface Field (10m),Amon.uas,Amon.uas,True,True,Summary,Amon.uas,atmos,,,
recwOdysKWIzgsMRD,Amon.rsut,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsut,Amon.rsut,True,True,Summary,Amon.rsut,atmos,,,
recxAVyfLnEa5TnMM,SIday.siconc,siconc,sea_ice_area_fraction,Sea-Ice Area Percentage (Ocean Grid),"""Weighted Time-Mean on Single Level, Masked (Sea)""",,SIday.siconc,True,True,Summary,SIday.siconc,seaIce,,,
recxXpi61CwG6U4UF,Ofx.masscello,masscello,sea_water_mass_per_unit_area,Ocean Grid-Cell Mass per Area,"""Model Configuration Field on Ocean-Model Levels, Area Sum""",Ofx.masscello,Ofx.masscello,True,True,Summary,,ocean,True,,
recxpvsVBdgigifVs,day.pr,pr,precipitation_flux,Precipitation,Time and Area Mean on Single Level,day.pr,day.pr,True,True,Summary,day.pr,atmos,,,
recxyMMg0CvReSi4P,Amon.tas,tas,air_temperature,Near-Surface Air Temperature,Time-Mean Near-Surface Field (2m),Amon.tas,Amon.tas,True,True,Summary,Amon.tas,atmos,,,
recz1TlY4KzwRRTtl,Amon.rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,Time and Area Mean on Single Level,Amon.rlut,Amon.rlut,True,True,Summary,Amon.rlut,atmos,,,
recz42ysF23rf1ag8,LImon.snd,,,,,LImon.snd,,,,Summary,,,,,
reczDADl7sD3XJ2es,Efx.wilt,wilt,volume_fraction_of_condensed_water_in_soil_at_wilting_point,Wilting Point,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.wilt,Efx.wilt,True,,Summary,,land,True,"Removed following review of corrected ESGF download stats.
",
