,Name,Title (from Variables (Import)),Model Count,Rank,Download Volume,Rank 2,Download Count,Rank 3,Min Rank,Field 10,Field 11,Field 12,Field 13,CMOR Variables (Import),Variables,Review Comment,In C3S
recYLFkZO1BvjzBD2,Omon.cfc12,Mole Concentration of CFC12 in Sea Water,16.0,653.0,3985.99,349.0,1597,1111.0,349,mole_concentration_of_cfc12_in_sea_water,Mole Concentration of CFC12 in Sea Water,"Mole concentration means number of moles per unit volume, also called 'molarity', and is used in the construction 'mole_concentration_of_X_in_Y', where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for CFC12 is CF2Cl2. The IUPAC name for CFC12 is dichloro-difluoro-methane. [Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.]","Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Omon.cfc12,Omon.cfc12,,
recYRwPOjHWShWICY,Oclim.diftrxylo2d,,,,,,,,9999,,,,,,Oclim.diftrxylo2d,"Requested, not published",
recYRxv6KulhiPTi4,CFsubhr.fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],1.0,1765.0,1.6,1741.0,1,1840.0,1741,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],"This is requested only for the emission-driven coupled carbon climate model runs.  Does not include natural fire sources but, includes all anthropogenic sources, including fossil fuel use, cement production, agricultural burning, and sources associated with anthropogenic land use change excluding forest regrowth. [This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.]","Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",CFsubhr.fco2antt,CFsubhr.fco2antt,,
recYUDhvxu3z4qJqx,CFmon.rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,14.0,727.0,3771.34,356.0,2647,921.0,356,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation 4XCO2 Atmosphere,Downwelling shortwave radiation calculated using carbon dioxide concentrations increased fourfold,"Temporal mean, Global field on model atmosphere half-levels [XY-AH] [tmean]",CFmon.rsd4co2,CFmon.rsd4co2,,
recYVr0CMYL2tsrWT,Efx.rlu,Upwelling Longwave Radiation,12.0,839.0,2.41,1724.0,5204,669.0,669,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation,Fluxes are requested at all levels,"Fixed, Atmospheric profile (model half-levels) [na-A] {spectband:}",Efx.rlu,Efx.rlu,,
recYXtsb3tbHxk5Ia,6hrPlev.vas,Northward Near-Surface Wind,16.0,653.0,4815.62,311.0,6400,582.0,311,northward_wind,Northward Near-Surface Wind,Near surface northward wind,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]",6hrPlev.vas,6hrPlev.vas,,
recYYgR7KxyGdDOhj,CFsubhr.rsus,Surface Upwelling Shortwave Radiation,10.0,956.0,95.14,1157.0,263,1504.0,956,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'shortwave' means shortwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics. [This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.]","Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",CFsubhr.rsus,CFsubhr.rsus,,
recYarLX4BcuzWmOw,Emon.hfssLut,Sensible Heat Flux on Land-Use Tile,10.0,956.0,67.69,1239.0,1092,1204.0,956,surface_upward_sensible_heat_flux,Sensible Heat Flux on Land-Use Tile,"Upward sensible heat flux on land use tiles. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.","Temporal mean, Global field (single level) [XY-na] {landUse:} [amlu-twm]",Emon.hfssLut,Emon.hfssLut,,
recYeOtKkBWgeZhMt,Oyr.dissicnat,Natural Dissolved Inorganic Carbon Concentration,12.0,839.0,837.37,613.0,2759,894.0,613,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,Natural Dissolved Inorganic Carbon Concentration,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration at preindustrial atmospheric xCO2,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.dissicnat,Oyr.dissicnat,,
recYghGlEjzaaMjbs,Omon.phnatos,Surface Natural pH,8.0,1159.0,163.97,1022.0,1072,1210.0,1022,sea_water_ph_natural_analogue_reported_on_total_scale,Surface Natural pH,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Omon.phnatos,Omon.phnatos,,
recYgttBcBKC9enP8,ImonAnt.rlus,Surface Upwelling Longwave Radiation,4.0,1463.0,27.57,1418.0,1831,1071.0,1071,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.","Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amni-twmn]",ImonAnt.rlus,ImonAnt.rlus,,
recYhzYrfN2MUzIBU,SImon.sitemptop,Surface Temperature of Sea Ice,67.0,105.0,432.03,759.0,80545,142.0,105,sea_ice_surface_temperature,Surface Temperature of Sea Ice,Report surface temperature of snow where snow covers the sea ice.,"Temporal mean, Global field (single level) [XY-na] [amnsi-twm]",SImon.sitemptop,SImon.sitemptop,,True
recYlfO9QIUfJF5AG,CF3hr.ci,Fraction of Time Convection Occurs in Cell,7.0,1230.0,1.22,1753.0,10,1790.0,1230,convection_time_fraction,Fraction of Time Convection Occurs in Cell,Fraction of time that convection occurs in the grid cell .,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amn-tpt]",CF3hr.ci,CF3hr.ci,,
recYllpgGmhW9BNcy,SImon.sirdgthick,Ridged Ice Thickness,9.0,1069.0,33.58,1383.0,1806,1076.0,1069,sea_ice_thickness,Ridged Ice Thickness,Sea Ice Ridge Height (representing mean height over the ridged area),"Time  mean, weighted by sea ice ridge area, Global field (single level) [XY-na] [amnsirdg-twm]",SImon.sirdgthick,SImon.sirdgthick,,
recYn2bozYeEWiE3s,CFmon.clic,Mass Fraction of Convective Cloud Ice,8.0,1159.0,856.73,608.0,1091,1205.0,608,mass_fraction_of_convective_cloud_ice_in_air,Mass Fraction of Convective Cloud Ice,Calculated as the mass of convective cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,"Temporal mean, Global field on model atmosphere levels [XY-A]",CFmon.clic,CFmon.clic,,
recYs4xYn1Q8xWMVb,SImon.sisaltmass,Mass of Salt in Sea Ice per Area,21.0,533.0,131.59,1079.0,3414,829.0,533,sea_ice_mass_content_of_salt,Mass of Salt in Sea Ice per Area,Total mass of all salt in sea ice divided by grid-cell area,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",SImon.sisaltmass,SImon.sisaltmass,,
recYwhRigVtplhIcd,Amon.o3,Mole Fraction of O3,36.0,264.0,17348.920000000002,150.0,29861,246.0,150,mole_fraction_of_ozone_in_air,Mole Fraction of O3,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. [If this does not change over time (except possibly to vary identically over each annual cycle), report instead the variable described in the next table entry.  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?]","Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]",Amon.o3,Amon.o3,,
recZ0adWf1ve96wxv,ImonAnt.snicem,Surface Snow and Ice Melt Flux,4.0,1463.0,1.87,1732.0,502,1387.0,1387,surface_snow_and_ice_melt_flux,Surface Snow and Ice Melt Flux,Loss of snow and ice mass resulting from surface melting. Computed as the total surface melt on the land ice portion of the grid cell divided by land ice area in the grid cell.,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amni-twmn]",ImonAnt.snicem,ImonAnt.snicem,,
recZ11MmsDjdYru7I,SImon.sidmassdyn,Sea-Ice Mass Change from Dynamics,33.0,290.0,218.91,942.0,6506,578.0,290,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,Sea-Ice Mass Change from Dynamics,"Total change in sea-ice mass through dynamics-related processes (advection,...) divided by grid-cell area","Temporal mean, Global field (single level) [XY-na] [amse-tmn]",SImon.sidmassdyn,SImon.sidmassdyn,,
recZ2XpgD5RtDhZDh,AERmonZ.bry,Total Inorganic Bromine Volume Mixing Ratio,6.0,1295.0,8.99,1583.0,710,1315.0,1295,mole_fraction_of_inorganic_bromine_in_air,Total Inorganic Bromine Volume Mixing Ratio,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl Definition: Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organicsource gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols) add comment attribute with detailed description about how the model calculates these fields","Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",AERmonZ.bry,AERmonZ.bry,,
